CandID,Reg_Date,Opportunity type,Success Story,suc_date,Training Session,Training Type,MG_ID,Cos_ID,Loc_ID
DMCC2302,2021/02/09,Closed Won,Email,2021/11/01,Weekend,Physical,MG08,CP01,LC02
DMCC2303,2021/02/12,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC2304,2021/02/28,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC2305,2021/03/08,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC2306,2021/03/11,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC2307,2021/03/11,Part Paid,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC2308,2021/03/11,Prospecting,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC2309,2021/03/22,Part Paid,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23010,2021/03/29,Closed Lost,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23011,2021/04/01,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23012,2021/04/02,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC23013,2021/04/26,Closed Won,,2022/01/17,Weekend,Virtual,MG12,CP01,LC02
DMCC23014,2021/05/01,Closed Won,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23015,2021/05/01,Part Paid,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23016,2021/05/01,Closed Won,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23017,2021/05/04,Prospecting,,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23018,2021/05/06,Closed Won,Email,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23019,2021/05/21,Prospecting,NULL,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23020,2021/05/21,Prospecting,NULL,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23021,2021/05/22,Closed Won,NULL,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23022,2021/05/22,Closed Won,NULL,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23023,2021/06/10,Closed Won,NULL,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23024,2021/06/13,Prospecting,NULL,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23025,2021/06/15,Prospecting,NULL,NULL,Weekend,Physical,MG03,CP01,LC02
DMCC23026,2021/06/15,Prospecting,NULL,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23027,2021/06/15,Closed Lost,NULL,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23028,2021/06/15,Prospecting,NULL,NULL,Weekend,Virtual,MG03,CP01,LC02
DMCC23029,2021/08/01,Part Paid,NULL,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC23030,2021/08/04,Closed Won,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23031,2021/08/06,Prospecting,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC23032,2021/08/06,Prospecting,NULL,NULL,Weekend,Virtual,MG08,CP01,LC02
